28 @-@ Year @-@ Old Chef Found Dead at San Francisco Mal ||| 28 岁 厨师 被 发现 死 于 旧金山 一家 商
the good man &quot; Lao Tie &quot; sacrificed his life when he helped the community on drainage , leaving a 2 @-@ year @-@ old kid and a wife with child . the moving story of the good man &quot; Lao Tie &quot; made the entire provincial capital moved ||| 好人 “ 老铁 ” 因 帮助 小区 义务 排水 不幸 牺牲 ， 留下 2 岁 的 幼儿 和 身怀六甲 的 妻子 ， 好人 “ 老铁 ” 的 感人事迹 感动 了 整个 省城
on August 4 , the working personnel of Hebei Provincial Cixiao Fund and volunteers of Hebei Brand Association came to his home and offered his relatives with 3,200 @-@ yuan love donation ||| 8 月 4 日 ， 河北省 慈孝 基金 工作人员 和 河北 品牌 会 志愿者 一起 来到 好人 “ 老铁 ” 家中 ， 把 3200 元 爱心 款 交到 “ 老铁 ” 的 家人 手里
when Ye Li , the vice president of Hebei Brand Association acknowledged the situation of &quot; Lao Tie &quot; , they immediately decided to carry out &quot; love charity &quot; activities among enterprise members to help &quot; old iron &quot; family to ride out the storm ||| 当 品牌 会 副会长 叶莉 了解 到 “ 老铁 ” 家人 的 现状 后 ， 当即 决定 在 品牌 会 的 企业会员 里 开展 “ 爱心 义卖 ” 活动 ， 帮助 “ 老铁 ” 家人 共度 难关
Hebei Provincial Cixiao Fund , known as Cixiao Fund of the Hebei Volunteer Service Foundation , was initiated by the Hebei Brand Preparatory Committee , and established in August 2015 ||| 河北省 慈孝 基金 ， 全 称为 河北省 志愿 服务 基金会 · 慈孝 基金 ， 由 河北 品牌 会 筹委会 发起 ， 成立 于 2015 年 8 月
according to a Hong Kong Oriental Daily report made on August 12 , the current diamond sales in Mainland China were accused of three major problems , including the false marking of diamond clarity to raise sales price , false diamond weight and unguaranteed aftersales , etc ||| 据 香港 《 东方日报 》 8 月 12 日 报道 ， 目前 内地 钻石 销售 被 指 存在 三大 问题 ， 包括 虚标 钻石 净度 推高 售价 、 虚标 钻石 重量 、 售后 无 保障 等
Antwerp is one of the world &apos;s largest diamond trading centers . the diamond cutting technology of local artisans is well @-@ known . all diamonds on sale have undergone rigorous identification , deeply welcomed by the mainland ladies ||| 而 安特卫普 为 全球 最大 的 钻石 交易中心 之一 ， 当地 工匠 的 钻石 切割 技术 名满天下 ， 所 出售 的 钻石 经过 严格 鉴定 ， 深受 内地 女士 的 欢迎
&quot; a small cloth bag , holding in one &apos;s hand , such light @-@ weighted , is worth of almost one million yuan &quot; , a woman surnamed Liu who participated in the purchase of diamonds told of her experience in Antwerp last June to the mainland media ||| “ 一个 小 布袋 ， 握 在 手心 ， 轻飘飘 的 一小撮 ， 价值 近 百万元 ” ， 一名 参与 代购 钻石 的 刘姓 大妈 ， 向内地 传媒 描述 她 今年 六月 在 安特卫普 的 经历
she buried the diamond in her lingerie and carried it all day along , including when she went to toilet and took bath ||| 她 指 自己 把 钻石 藏 在 内衣 里 ， 连续 几日 上 厕所 、 洗澡 都 带 着 ， 走路 睡觉 都 十分 紧张
she said the diamond she bought in Antwerp was priced about RMB 55,000 per gram and diamond of the same quality was retail @-@ priced about RMB 111,000 in Xia &apos;men ||| 她 称 在 安特卫普 所买 的 钻石 ， 购入 价为 每 克拉 约 五万五千 元 ， 同 品质 的 钻石 在 厦门 的 零售价 约 十一万 一千元
recently , she sold the diamond with 120 % more than the price she bought and earned two hundred thousand yuan ||| 她 日前 以 购入 价加 两成 ， 把 代购 的 钻石 全部 售出 ， 一次 过大 赚 二十万元
according to the provisions of the Mainland Customs , diamonds are neither supplies nor necessities during the trip and thus belong to the scope of goods . so such diamond should be declared at entry and exit . otherwise , it shall be classified as smuggling . people may be sentenced to jail ||| 据 内地 海关 规定 ， 钻石 非 旅客 于 行程 中 的 用品 或 必需品 ， 故 属于 货品 范畴 ， 出入境 时需 申报 ， 否则 或 列作 走私 ， 情况严重 可 被判 入狱
according to foreign media reports , on the 10th day of the month of the local time , the British Prime Minister &apos;s Downing Street announced that British Prime Minister Teresa Mei will go to Switzerland to spend the summer vacation , but did not disclose the specific place ||| 据 外媒 报道 ， 当地 时间 10 日 ， 英国 首相府 唐宁街 宣布 ： 英国首相 特蕾莎 · 梅将 到 瑞士 度过 暑假 ， 但 没有 透露 具体 的 休假 地点
according to some media , after the British referendum off Europe , the new British Prime Minister chose to spend her vacation on the &quot; neutral country &quot; , Swiss on the European continent . this is symbolic ||| 有 媒体 称 ， 在 英国 公投 脱 欧后 ， 英国 新 首相 选择 到 欧洲 大陆 上 的 “ 中立国 ” 瑞士 度假 ， 带有 某种 政策 象征性
the British &quot; Guardian &quot; commented that the symbolic neutrality nature of the Swiss played a role in the choice of the British Prime Minister &apos;s first resort ||| 英国 《 卫报 》 评论 称 ， 瑞士 这个 中立国 所 代表 的 象征性 在 英国首相 第一次 度假地 的 选择 上 发挥 了 作用
British &quot; Daily Telegraph &quot; commented that Teresa Mei chose to take a vacation in Switzerland . this is the first time that the British Prime Minister chose to go vacation in Swiss after Margaret Thatcher ||| 英国 《 每日 电讯报 》 评论 指出 ， 特蕾莎 · 梅 选择 到 瑞士 度假 ， 这是 撒切尔 夫人 后 ， 首次 再有 英国首相 到 瑞士 度假
the choice of these two female prime ministers is quite a contrast to the hot place which Blair and Cameron , the two male prime ministers like to go to ||| 两位 女 首相 的 选择 和 布莱尔 和 卡梅伦 两位 男 首相 喜欢 到 较 热 的 地方 度假 形成 了 反差
it is reported that the new British Prime Minister Teresa Mei will return to London on August 24 . a series of important work and activities will be waiting for her ||| 据悉 ， 英国 新 首相 特蕾莎 · 梅将 在 8 月 24 日 返回 伦敦 ， 之后 等待 她 的 是 一系列 重要 工作 和 活动
the British parliament will resume on September 5 . the subject matter covers the second Brexit referendum required by the internet ||| 英国议会 将 于 9 月 5 日 复会 ， 辩论 的 议题 中 包括 网上 要求 的 举办 第二次 脱欧 公投 事宜
on June 23 , the British held a referendum for Brexit , but the British new prime minister did not want to start the article 50 , which is involved with the Lisbon Treaty before the end of the year ||| 6 月 23 日 英国 公投 决定 脱欧 ， 但 英国 新 首相 不愿 在 年底 前 启动 里斯本 条约 有关 成员国 脱欧 的 第 50 款 内容
there are 1,325 existing intangible cultural heritage projects in Huangshan . its number and quantity ranked first in Anhui province ||| 黄山市 现存 非 物质 文化遗产 项目 1325 个 ， 种类 和 数量 均 居 全省 第一
as the inheritance of intangible cultural heritage projects of Anhui province mainly relies on oral and face @-@ to @-@ face passage , many intangible cultural heritage projects are on the verge of failing to be handed down from past generations . so the application of digital technology for conservation is imperative ||| 由于 徽 文化 非 遗传 承 主要 依赖 口传 面授 ， 许多 非遗 濒临 失传 ， 运用 数字化 技术 保存 和 保护 势在必行
according to the work plan of the Standing Committee of the Provincial People &apos;s Congress this year , the Standing Committee plans to listen to the deliberation of special work report , and carry out the implementation of banking supervision and management law and special inquiry of serving local economic development ||| 根据 省 人大常委会 今年 工作 要点 安排 ， 常委会 计划 听取 审议 专项 工作 报告 ， 并 开展 实施 银行业 监督管理 法 、 服务 地方 经济 发展 情况 专题 询问
in mid @-@ August , the Standing Committee will organize two research groups to conduct research in some cities to prepare for the special inquiry ||| 8 月 中旬 ， 常委会 将 组织 两个 调研组 赴 部分 市 开展调研 ， 为 专题 询问 作 准备
Hua Jianhui pointed out that this was the first time that the Standing Committee of the Provincial People &apos;s Congress listened to and deliberated on the special work report of vertical administration department and carry out special inquiries . it is the active exploration for enhancing and exploring the supervision work of the Provincial People &apos;s Congress ||| 花建慧 指出 ， 省 人大常委会 听取 和 审议 垂直 管理 部门 专项 工作 报告 并 开展 专题 询问 ， 在 我省 尚属 首次 ， 是 加强 和 拓展 人大 监督 工作 的 积极探索
in the director department of Kashi , Xinjiang , with the order of the director , the armed police in three regions , namely Kashi , Hotan and Aksu , followed the order quickly , implemented motor @-@ driven and left for the exercise combat zone ||| 在 新疆 喀什 的 演习 导演 部 ， 随着 总导演 的 一声令下 ， 武警 驻 喀什 、 和田 、 阿克苏 三地 的 各 部队 迅速 按照 导调 指令 ， 实施 机动 集结 ， 开赴 演习 作战 地
China &apos;s Mars program is comin ||| 中国 的 火星 计划 来
China Mars exploration mission aims to achieve surrounding , landing and patrolling at one time , which has never occurred in foreign countries ||| 我国 火星 探测 任务 要 一次 实现 环绕 、 着陆 、 巡视 ， 这种 形式 在 国外 从 没有 过
China &apos;s Mars exploration launch target is to step around , land and patrol at one time . such task has considerable difficulty ||| 我国 的 火星 探测 发射 目标 是 想 一步 环绕 、 着陆 、 巡视 ， 这个 任务 具有 相当 大 的 难度
because the Mars probe can encounter a time window in 26 months , experts are closely working on the project plan and try to launch the first Mars probe in 2020 ||| 因为 火星 探测 要 26 个 月 才能 遇到 一个 时间 窗口 ， 所以 专家 们 正在 严密 地 制定 工程 计划 ， 争取 在 2020 年 这个 窗口 发射 我国 第一个 火星 探测器
according to Xu Dazhe , although China &apos;s aircraft has entered a deep space , it is still essential to finish the task of Mars exploration . the detection of Mars means that China has stepped into the deep space exploration era in a true sense ||| 据 许达哲 介绍 ， 尽管 我国 的 飞行器 已经 进入 了 深空 ， 但是 完成 火星 探测 任务 仍 不可或缺 ， 探测 火星 意味着 中国 从 真正 意义 上 迈入 深空 探测 时代
&quot; every two or three years , there is a chance that Mars is closest to Earth . and at this point , it is most energy efficient to launch the vehicle . ||| “ 每隔 两年 或 三年 ， 才 有 一次 火星 距离 地球 最近 的 机会 ， 在 这个 时间 点上 发射 火星 探测器 ， 对 运载火箭 来说 是 最省 能量 的 。
&quot; taking into account the mass of Mars detectors , it will be the job of China &apos;s Long March 5 carrier rocket to complete the launch mission . ||| “ 考虑 到 火星 探测器 的 质量 ， 将 由 我国 长征 五号 运载火箭 来 完成 发射 任务 。
China &apos;s Mars exploration mission aims to achieve surrounding , landing and patrolling at one time , which has never occurred in foreign countries . there was one time of surrounding and landing before in foreign countries , but the landing failed ||| 我国 的 火星 探测 任务 要 一次 实现 环绕 、 着陆 、 巡视 ， 这种 形式 在 国外 是从 没有 过 的 ， 国外 曾拟 一次 实现 环绕 和 着陆 ， 但 着陆 失败 了
Mars exploration involves a lot of technical areas . in particular , although the rover is a space detector , it has a distinctive feature compared with the general space detector ||| 火星 探测 涉及 的 技术 领域 非常 多 ， 特别之处 还 在于 ， 虽然 火星车 是 一个 空间 探测器 ， 但 与 一般 空间 探测器 相比 ， 它 又 具有 鲜明 的 特点
in other words , the Mars probe should be capable of determining the driving route and equipped with the ability to find obstacles ||| 也就是说 ， 火星 探测器 要 具备 确定 行驶路线 、 发现 障碍 危险 的 能力
according to Pang Zhihao , a researcher of the fifth institute of China &apos;s Aerospace Science and Technology Group , the reason for human being to favor Mars exploration is because Mars detection has significant scientific and technical meanings and it even matters to the future of human beings ||| 中国航天科技集团 五院 研究员 庞之浩说 ， 人类 之所以 对 火星 探测 如此 青睐 ， 是因为 探测 火星 具有 重要 的 科学 、 技术 等 多方面 意义 ， 甚至 关系 到 人类 的 未来
currently , the Mars has become the planet with the highest degree of human research . the history of human beings to use space detectors for Mars exploration almost goes across the entire history of human space exploration ||| 目前 火星 已 成为 除 地球 以外 人类 研究 程度 最高 的 行星 ， 人类 利用 空间 探测器 进行 火星 探测 的 历史 几乎 贯穿 整个 人类 航天史
therefore , the human beings hope that one day on the Mars to establish a base of residence , and ultimately to Mars immigration , it turned into a second home of mankind ||| 因此 ， 人类 希望 有朝一日 在 火星 建立 居住 基地 ， 最终 向 火星 移民 ， 把 它 变成 人类 的 第二 家园
a large number of signs also show that the Mars is likely to be the same as the current Earth , only after billions of years of evolution into the atmosphere thin , low temperature , water depletion and so on ||| 大量 迹象 还 表明 ， 火星 以前 很 可能 与 目前 的 地球 一样 ， 只是 经过 几十亿年 的 演化 才 变成 大气层 稀薄 、 温度 较 低 、 水源 枯竭 等 样子
therefore , the detection or manned landing on the Mars for research can help propose a pre @-@ arranged planning to prevent the earth from becoming the second Mars which is difficult for human beings to inhabit ||| 因此 ， 探测 或 载人 登陆 火星 进行 研究 ， 可以 为 防止 地球 变成 人类 难以 生存 的 第二个 火星 提出 预案
as of June 2016 , the world conducted a total of 114 lunar explorations , including 43 Mars detection missions ||| 截至 2016 年 6 月 ， 全球 共 进行 了 114 次 月球 探测 ， 43 次 火星 探测
however , ever since the 1990s , a total of 18 human explorations have been carried out and only 14 lunar detections have been conducted ||| 不过 ， 从 20 世纪 90 年代 至今 ， 人类 共 进行 了 18 次 火星 探测 ， 而 月球 探测 只 进行 了 14 次
there are currently five Mars orbiters and two Mars rovers at work , but only one lunar orbiter and one lunar lander are at work ||| 目前 有 5 个 火星 轨道 器 和 2 辆 火星 漫游 车 在 工作 ， 但 只有 1 个 月球 轨道 器 和 1 个 月球 着陆器 在 工作
world space powers have developed a detection plan with the Mars system as target . so we can see the current Mars detection is hotter than that of moon detection ||| 世界 航天 大国 都 制定 了 以 火星 系统 为 目标 的 探测 计划 ， 由此可见 ， 当今 的 火星 探测 比 月球 探测 还 热
on Nov . 5 , 2013 , India launched the first Mars probe &quot; Mangalian &quot; , and has become Asia &apos;s first country for successful detection of the Mars ||| 2013 年 11 月 5 日 ， 印度 发射 了 第一个 火星 探测器 “ 曼加 里安 ” ， 成为 亚洲 第一个 成功 探测 火星 的 国家
&quot; Mangalian &quot; is used to study the surface , the atmosphere and mineral characteristics of the Mars and explore whether there are signs of methane and life on the Mars ||| “ 曼加 里安 ” 用于 研究 火星 表面 、 大气 和 矿物 特征 ， 探寻 火星 上 是否 有 甲烷 和 生命 迹象
the hardest part of the mission is that the probe just has one chance before entering the Martian atmosphere for aerodynamic shape and parachute deceleration ||| 这次 任务 最难 的 地方 ， 就是 探测器 进入 火星 大气 后 气动 外形 和 降落伞 减速 只有 一次 机
according to Sun Zezhou , the chief designer of a Mars detector of the China Aerospace Science and Technology Corporation , the Mars exploration task is confronted with many technical challenges ||| 据 中国航天科技集团公司 五院 总体 部 的 火星 探测器 总 设计师 孙泽洲 介绍 ， 火星 探测 任务 面临 着 许多 技术 挑战
the atmospheric pressure of the Mars is very low , only 1 % of the Earth &apos;s surface atmospheric pressure , with high uncertainty ||| 火星 大气 气压 很 低 ， 只有 地球表面 大气压力 的 1% ， 具有 很 高 的 不确定性
scientists have not had a thorough understanding of Mars factors such as its changes and storm characteristics ||| 有关 它 的 变化 和 风暴 时 特性 等 因素 ， 科学家 们 还 没有 透彻 的 认识
a dust storm similar to the Earth &apos;s dust is often formed in the Mars in the summer , which will lead to a sharp decline in solar energy . so a &quot; sleep &quot; mode must be designed for the Mars rover and let it wait patiently until the disappearance of dust storms ||| 火星 在 夏季 常 形成 类似 地球 沙尘 天气 的 尘暴 ， 这会 导致 火星车 接收 的 太阳光 能量 急剧下降 ， 必须 为 火星车 设计 “ 休眠 ” 模式 ， 让 其 耐心 地 等待 尘暴 过去
at the same time , the Martian atmosphere has a reducing effect on sunlight , which poses a problem for the energy supply for Mars detection ||| 同时 ， 火星 大气 对 太阳 光照 还有 削减 作用 ， 这为 火星 探测 的 能源 供给 带来 难题
this requires that the detector &apos;s sun wing area to be larger , and need to constantly adjust , and strive to align with the sun direction ||| 这 就 要求 探测器 的 太阳 翼 面积 更大 ， 而且 需 不断 调整 ， 努力 对准 太阳 方向
in addition , since the gravity of the Mars is only 38 % of that of the earth and much higher than that of the Moon surface , so the probe requires higher power ||| 还有 ， 火星 表面 重力 只有 地球 的 38% ， 但是 比 月球 表面 的 重力 大多 了 ， 因此 探测器 需要 更大 的 功率
&quot; the core and the most difficult part of the Mars exploration mission are the aerodynamic shape and parachute deceleration process after the probe enters Martian atmosphere . there is just one chance to ensure success . ||| “ 这次 火星 探测 任务 最 核心 、 最难 的 地方 ， 就是 探测器 进入 火星 大气 后 气动 外形 和 降落伞 减速 的 过程 ， 只有 一次 机会 ， 必须 确保 成功 。
according to Sun Ze , it must rely on the detector to complete the entire process because the distance between the Earth and the Mars is quite large ||| 孙泽洲 说 ， 由于 地球 与 火星 距离 遥远 ， 整个 过程 无法 由 地面 实时控制 ， 所以 必须 依靠 探测器 自主 完成
because there is not so much propellant to offset the high speed , the slowdown should rely on the atmosphere of the Mars while landing the Mars . however , it is quite difficult to simulate the atmosphere of the Mars on earth ||| 由于 没有 那么 多 的 推进剂 来 抵消 那么 高 的 速度 ， 所以 登陆 火星 时 ， 减速 要 依靠 火星 大气 的 作用 ， 然而 火星 大气 难以 在 地面 模拟
Pang Zhihao said , in general , the way to detect the Mars is similar to the way to detect the moon . the entire process is also &quot; surrounding , landing , patrolling and returning &quot; to achieve the goal of manned landing on the Mars ||| 庞之浩说 ， 总体 来讲 ， 探测 火星 的 方式 与 探测 月球 的 方式 相似 ， 也 是 “ 绕 、 落 、 巡 、 回 ” ， 最终 实现 载人 登陆 火星 的 目标
because the distance between the Mars and the earth is larger than that between the Moon and Earth , it needs to overcome a series of more complex technical difficulties before the Mars detection ||| 由于 火星 距离 地球 比 月球 距离 地球 要 远 得 多 ， 所以 探测 火星 需要 攻克 一系列 更 复杂 的 技术 难关
according to Taiwanese media reports , Lin Quan , the head of Taiwan &apos;s Executive Yuan , announced yesterday morning , &quot; Ill @-@ gotten Party Assets Handling Regulations by political parties and their accompanying organizations &quot; will take effective since today ||| 据 台湾 媒体报道 ， 台 “ 行政院长 ” 林全 昨天上午 宣布 ， “ 政党 及其 附随 组织 不当 取得 财产 处理 条例 ” 自 今天 起 生效
KMT Vice Chairman Zhan Qixian said , &quot; Kuomintang , with a hundred years of history , will step down otherwise without social commitment and responsibility . ||| 国民党 副 主席 詹启贤则 表示 ， “ 一个一百多年 历史 的 国民党 ， 有 社会 的 承诺 跟 责任 ， 不会 这样 就 倒闭 ”
Lin Quan stressed that if the political party , accompanying organization or trustees are in violations of the regulations which prohibit provisions ban , the Commission will investigate and punish &quot; according to the law &quot; ||| 林全 强调 ， 如果 政党 、 附随 组织 或 受托 管理 人 等 违反 条例 所定 禁止 处分 的 规定 ， 委员会 将 依 职权 调查 并 “ 依法 ” 处分 、 裁罚
Lin Quan also announced that Hong Peigen , &quot; Deputy Director of the Independent &quot; , will serve as the vice chairman of the Ill @-@ gotten Party Assets Settlement Committee ||| 林全 也 宣布 不当 党产 委员会 的 副 主委 人选 ， 将 由 台 “ 廉政 署 副 署长 ” 洪 培根 担任
he said that Gu Lixiong will be the most appropriate candidate for the Ill @-@ gotten Party Assets Handling Regulations . the experience of Hong Peigen who dealt with the major cases will serve as the foundation for the committee to uncover the related Ill @-@ gotten Party Assets ||| 他 说 ， 由 顾立雄 担任 不当 党产 委员会 主委 是 不二 人选 ， 借用 洪 培根 过去 查察 相关 重大案件 的 经验 ， 将 作为 委员会 清查 相关 不当 党产 案件 的 基础
Zhan Qixian said that , as long as there are party assets today , no one will give you social donations . so if the party were all confiscated away , then Kuomintang can just ask for social support and sponsorship , &quot; You will have chance to go when there are no assets . ||| 詹启贤 认为 ， 今天 只要 还有 党产 ， 没有 人会 给 你 社会 捐款 ， 若党产 统统 被 充公 收走 ， 国民党 刚好 可 请求 社会 支持 与 赞助 ， “ 今天 真的 没有 了 才 有 机会 去 要 ”
Zhan Qixian also stressed that even if the Ill @-@ gotten Party Assets Handling Regulations goes into effect and the Kuomintang party assets are not fully confiscated , the rest will continue to be confiscated as promised , the party asset will go null and the party will start from scratch ||| 詹启贤 也 强调 ， 就算 不当 党产 条例 上路 后 ， 国民党 党产 没 被 完全 充公 、 没收 ， 剩下 的 仍会 依 承诺 捐 出去 ， 让 党产准 归零 ， 党要 一切 从零开始
original title : suit launched by &quot; corridor doctor &quot; Lan Yuefeng against CCTV host Wang Zhi &apos;an for reputation infringement fails in instance judgmen ||| 原 标题 ： “ 走廊 医生 ” 兰越峰诉 央视 主持人 王志安 名誉 侵权 一审 败
the legal evening news : because the CCTV host Wang Zhi &apos;an published his remarks against the &quot; corridor doctor &quot; event on microblogging , Lan Yuefeng brought Wang Zhi &apos;an and Beijing Micro Dream Chuangke Network Technology Co . , Ltd. to the court ||| 法制晚报 讯 因 央视 主持人 王志安 在 新浪 微博上 发表 针对 “ 走廊 医生 ” 事件 的 言论 ， 兰越峰 将 王志安及 北京 微梦 创科 网络 技术 有限公司 诉至 法院
yesterday afternoon , Haidian court sentenced the case and the verdict said that Wang Zhi &apos;an and Micro Dream Company did not constitute the infringement and dismissed the Lan Yuefeng for all the claims ||| 昨天下午 ， 海淀法院 对 该案 进行 了 宣判 ， 判决 认定 王志安及 微梦 公司 不 构成 侵权 ， 驳回 了 兰 越峰 的 全部 诉讼请求
at the beginning of 2014 , CCTV reporter Wang Zhi &apos;an found after his survey that although Lan Yuefeng was sitting in the corridor for more than 600 days and was shaped as the tragic hero suppressed by the media , these reports had a lot of false information ||| 2014 年初 ， 央视 记者 王志安 调查 发现 ， 尽管 在 医院 走廊 里 坐 了 600 多天 的 兰 越峰 被 媒体 塑造 为 被 体制 打压 的 悲情 英雄 ， 但 这些 报道 存在 大量 不 实 信息
on March 29 , 2014 , the &quot; corridor doctor &quot; program produced by CCTV news survey broadcasted ||| 2014 年 3 月 29 日 ， 央视 新闻调查 制作 的 《 走廊 医生 》 节目 播出
all information about the so @-@ called over @-@ medical treatment reported by Lan Yuefeng to the media do not have any evidence support ||| 兰越峰 向 媒体 举报 的 各种 所谓 过度 医疗 的 信息 ， 均 没有 证据 支持
in the microblogging with real @-@ name certification , Wang Zhi &apos;an also said that the reason for Lan Yuefeng to become this is because of his stubborn characters and paranoid personality &quot; ||| 王志安 也 在 实名 认证 的 微博中 ， 描述 “ 兰越峰 之所以 走到 这 一步 是 性格 使然 、 其 带有 明显 的 偏执 人格 等 ”
LAN Yuefeng claimed that Wang Zhi &apos;an should delete the microblogging and apologized to him and made compensation of 100,000 yuan for the mental damage solatium ||| 兰越峰 提出 要求 王志安 删除 微博 、 向 其 致歉 并 赔偿 精神 损害 抚慰金 10 万元
at the time of the trial , the two sides argued whether Wang Zhian violated the reputation right of Lan Yuefeng ||| 在 当时 的 庭审 中 ， 双方 就 王志安 是否 侵犯 了 兰 越峰 的 名誉权 进行 了 激辩
highlight of the 12th day of the month : at the beginning of Track and Field Events , the Chinese team is quite busy and the women &apos;s football association aims to become the top four of the bicycle game ||| 12 日 看点 ： 田径 开赛 中国队 很 忙 女足 冲四 自行车 盼突
the bicycle game is expected to realize the &quot; zero breakthrough &quot; in the Olympic gold medal while the Women &apos;s World Cup girls will challenge Germany team , the world champion winner for twice and are expected to become the top four ||| 自行车 有望 实现 奥运金牌 “ 零 突破 ” ， 而 女足 姑娘 将 挑战 两次 世界冠军 得主 德国队 ， 期待 爆冷 冲进 四强
Wang Zhen was quite outstanding in the two races . he won silver medal for the athletics world championship held in Beijing last year and was upgraded to the individual project champion in the world championship this May ||| 王镇近 两个 赛季 状态 突出 ， 去年 北京 田径 世锦赛 收获 银牌 ， 今年 5 月 团体 竞走 世锦赛 上 又 升级 个人 项目 冠军
according to foreign media reports , Zhang Huizhen , the 27 @-@ year @-@ old Korean archery female player won the gold medal in the women &apos;s archery individual tournament . this is the second scoring of Olympic gold medal following the team competition . this made she become a double winner ||| 据 外媒 报道 ， 27 岁 的 韩国 射箭 女选手 张慧珍 在 女子 射箭 个人赛 中 获得 金牌 ， 继 团体赛 后 再 获 奥运会 金牌 ， 成为 双冠王
Zhang Huizhen is considered as a late Bloomer . she regrets about not winning the last session of the London Olympic Games tickets before , but now she proudly stands on the top of the Rio Olympic podium ||| 张慧珍 被 认为 是 一名 大器晚成 的 选手 ， 她 曾 遗憾 未获 上届 伦敦 奥运会 的 入场券 ， 如今 却 骄傲地 站 在 了 里 约 奥运 的 最高 领奖台 上
Zhang Huizhen won the gold medal in Lisa Wenglu , a total score of 6 @-@ 2 in the women &apos;s archery finals at the Samba Boulevard in Rio de Janeiro , Brazil ||| 张惠珍 在 在 巴西 里 约 桑巴 大道 体育馆 举行 的 女子 射箭 个人赛 决赛 中以 总比分 6 - 2 击败 德国 的 丽萨 · 翁鲁 ， 获得 了 金牌
she did archery for the first time in the fourth grade of primary school . she won the first individual tournament gold medal when she was 27 in 2014 . so she is a late Bloomer ||| 她 在 小学 四年级 时才 第一次 射箭 ， 直到 27 岁 的 2014 年 才 在 世界杯赛 上 首次 获得 个人赛 金牌 ， 是 一位 成名 较晚 的 选手
Zhang Huizhen recalled , &quot; My performance before high school was too bad to enable me to participate in the national competition ||| 张惠珍 回忆 道 ， “ 上 中学 以前 没有 什么 水平 ， 以至于 无法 参加 全国 的 比赛
Zhang Huizhen was ranked the fourth at the London Olympic Games qualification trials . unfortunately , she lost the Olympic admission and can just watch her colleague and good friend Qi Pubei score two gold medals ||| 张惠珍 在 四年 前 的 伦敦 奥运会 选手 选拔赛 上仅 获 第四名 ， 憾失 奥运 入场券 ， 只能 坐视 同事 兼 好友 奇甫 倍 夺 两枚 金牌
Zhang Huizhen talked about his gold winning after the women &apos;s individual awards ceremony of archery . &quot; I tried to shoot one by one until the last . maybe it is because this brings me good results and makes me contented . ||| 张惠珍 在 女子 射箭 个人赛 颁奖仪式 结束 后谈 了 自己 的 夺金 感言 ， “ 直至 最后 都 是 尽可能 地 一发 一发 地 射箭 ， 可能 是 这 带来 了 好 结果 ， 心满意足
the 28 @-@ year @-@ old Korean archery &quot; No.1 &quot; , and the London Olympic Games archery individual tournament winner Qi Fubei won the bronze medal ||| 28 岁 的 韩国 射箭 “ 一姐 ” 、 伦敦 奥运会 射箭 个人赛 金牌 获得者 奇甫 倍 获得 了 铜牌
Qi Fubei was defeated by Zhang Huizhen in the semifinals and competed for the bronze medal with the Mexican player Alexandra Valencia ||| 奇甫 倍 在 半决赛 中 输给 张惠珍 ， 与 墨西哥 选手 亚力 杭 德拉 · 瓦伦西亚 展开 铜牌 争夺
Qi Fubei shed tears after she knew she won the blonde medal . at this time , we can know her pressure ||| 奇甫 倍 在 确保 铜牌 后泪 洒 赛场 ， 其间 默默 承受 的 冲金 负担 可想而知
firstly , the coaching staff accumulated rich experience in his gradual study . secondly , it needs scientific training , which should be accumulated over time ||| 首先 是 教练组 在 不断 研究 中 积累 了 丰富 经验 ， 其次 是 科学 的 训练 方式 ， 这些 都 是 需要 长期 积累 的
the Archery team helped the team players focus and remain unbiased via military training and going through the cemetery during night ||| 射箭 队以 军训 、 夜间 穿越 墓地 等 方法 帮助 队员 集中 注意力 并 保持 平常心
although not yet confirmed , it is said by many sources that Apple &apos;s 2016 autumn conference will be held in September , and iPhone7 would really be launched into the market ||| 尽管 还 没有 被 证实 ， 但 诸多 消息 源 都 表示 ， 苹果 2016 年 秋季 发布会 将 在 9 月 举行 ， iPhone7 真要 来 了
although Apple did not respond , there are news release about the function and configuration of the new iPhone . there are even the images of iPhone7 &quot; real machine model &quot; on the internet ||| 虽然 苹果公司 并未 回应 ， 但 有关 新 iPhone 的 功能 、 配置 已经 陆续 有 消息 放出 ， 甚至 网上 连 iPhone7 “ 真机 模型 ” 图片 都 有 了
the new generation of iPhone is really &quot; eye @-@ catching &quot; , hot and hard @-@ to @-@ get . if you want to buy the genuine product at the first time , you must choose a good channel , for example , Suning ||| 新一代 iPhone 可谓 “ 万众瞩目 ” ， 火热 、 紧俏 、 有钱 无货 … … 如果 你 想 第一 时间 购买 到 正品 ， 一定 要 选择 一个 好 渠道 ， 比如说 ， 苏宁
this has exacerbated people &apos;s disappointment of the new iPhone , &quot; It is lengthened , but cannot be used to cast holographic images ! this generation of iPhone is so terrible . ||| 这 加剧 了 人们 对于 新手机 的 失望 ， “ 它 加长 了 ， 却 根本 不能 投射 全息图 像 ! 这 一代 iPhone 糟透了 。
iPhone7 , just like other iPhones , brings countless secret before birth ||| iPhone7 像 其他 iPhone 一样 ， 出生 之前 就 伴随 着 无数 秘闻
